144.94,108.29,79.045
201.58,158.88,124.63
169.37,133.86,102.21
167.48,132.03,102.36
149.23,114.35,86.41
199.01,157.27,125.01
175.48,138.72,105.86
184.72,150.71,119.88
165.82,130.93,102.11
165.57,130.97,103.07
161.05,123.09,93.138
189.47,154.53,123.86
166.9,132.25,105.05
188.2,150.2,117.24
145.31,111.98,86.257
187.84,149.79,116.31
189.75,155.59,125.18
155.47,121.98,95.159
190.14,152.17,117.86
161.73,124.92,94.049
183.17,149.77,122.67
197.65,155.13,121.27
189.64,148.14,116.62
168.26,132.08,102.08
175.84,139.08,107.47
195.99,159.01,125.25
201.35,167.47,135.39
173.2,137.07,106
192.66,150.54,117.97
164.63,131.06,103.35
190.29,154.66,121.9
174.85,142.73,112.74
161.12,130.23,102.79
168.16,136.49,110.5
157.22,126.98,100.24
184.9,151.67,122.51
156.86,126.34,96.685
173.24,141.07,115.04
153.53,122.52,96.237
148.29,119.32,90.706
143.94,116.05,90.582
146.23,116.93,90.644
148.82,118.97,90.883
133.99,105.74,80.775
148.69,118.89,90.868
163.54,124.19,89.746
177.46,139.04,105.7
164.81,127.09,93.542
169.52,130.85,100.21
169.22,129.76,95.746
