175.35,126.73,96.591
145.49,96.825,67.815
171.42,123.95,97.68
172.26,123.55,95.566
178.34,125.83,94.737
176.94,126.11,95.727
157.29,108.59,80.71
143.2,96.304,68.048
164.4,114.67,85.225
175.59,126.58,98.074
168.13,117.17,88.923
164.65,112.41,84.276
148.69,100.52,72.156
134.7,86.168,58.914
150.43,102.7,75.446
178,129.54,101.34
144.59,97.198,68.278
166.49,120.98,93.37
150.57,99.333,69.615
171.13,115.96,86.228
171.51,118.45,87.799
188.86,139.4,111
151.85,103.95,73.448
170.99,117.12,84.782
183.45,133.41,103.99
145.53,91.9,64.048
196.02,147.76,116.15
170.32,116.44,87.125
171.33,119.35,88.044
154,106.1,76.981
175.51,120.02,88.071
161.68,108.02,79.3
175.07,125.23,93.46
171.64,119.77,88.122
162.84,110.42,81.192
175.04,121.64,91.629
151.37,101.06,71.724
126.74,82.981,56.318
144.6,95.22,67.487
152.11,97.229,68.132
145.58,97.585,71.264
149.96,101.3,75.167
141.48,95.972,69.62
141.13,92.213,66.094
129.28,81.628,54.061
134.89,89.463,64.663
135.84,89.399,63.04
147.24,99.25,70.25
170.59,116.04,86.239
151.83,104.91,76.457
