181.97,179.35,158.05
175.96,166.72,159.84
228.18,174.36,120.38
83.298,86.265,99.432
160.06,150.56,142.14
75.312,74.726,81.492
181.57,178.45,156.2
105.9,56.765,21.717
196.48,186.8,148.78
218.4,218.35,215.03
110.23,63.428,14.119
98.961,101.2,102.58
202.82,199.01,191.02
240.11,132.95,84.316
168.46,118.06,112.21
186.46,185.81,186.27
139.5,123.7,103.13
180.55,183.18,136.84
228.58,220.1,219.29
91.827,109.4,148.97
135.61,93.97,93.19
212.92,211.31,195.68
32.642,82.798,94.848
174.67,158.27,152.1
195.73,195.1,195.89
103.95,111.06,124
63.629,111.23,111.88
132.13,86.329,95.469
168.62,168.73,137.72
142.93,118.66,111.89
71.937,90.977,91.375
140.3,130.2,149.92
208.32,208.17,207.98
119.25,102.24,100.09
80.395,78.357,79.835
193.8,191.22,190.25
117.81,131.8,154.69
41.035,40.967,50.159
53.317,50.298,45.365
181.15,174.17,167.08
218.87,216.91,230.63
151.85,118.93,131.31
139.53,134.82,129.87
196.91,197.71,194.66
111.65,110.35,109.7
209.82,207.67,212.91
196.75,167.94,189.83
27.577,29.697,90.706
230.71,232.36,236.93
139.27,139.18,144.64
101.73,121.9,96.348
111.61,126.15,133.81
183.58,179.74,189.59
148.61,160.77,78.785
190.66,201.99,172.46
199.21,199.82,205.98
79.777,94.088,121.81
107.46,102,91.215
142.16,143.08,135.35
19.627,76.647,3.7974
176.18,137.31,125.41
141.35,173.19,113.88
31.004,29.206,32.914
73.617,85.023,81.314
165.71,130.73,118.26
166.09,153.99,121.17
124.36,126.79,124.04
127.78,120.24,120.04
92.057,99.443,98.011
116.88,121.47,118.74
197.07,180.71,166.92
197.64,209.65,223.27
132.54,133.71,120.82
182.03,151.13,141.98
103.83,103.16,96.689
108.62,117.51,130.89
141.82,145.48,145.55
237.06,237.28,237.4
172.21,149.55,124.5
61.217,46.082,72.039
147.44,174.6,154.2
110.86,111.13,111.31
120.19,108.03,118.67
83.443,79.548,86.865
102.51,93.756,87.538
184.43,168.66,173.24
115.32,117.18,118.35
184.69,169.49,155.96
226.9,223.26,185.5
